,ds,y
259,2021-10-22,30997.970703125
260,2021-10-23,30997.970703125
261,2021-10-24,30997.970703125
262,2021-10-25,30086.919921875
263,2021-10-26,30353.5703125
264,2021-10-27,30664.658203125
265,2021-10-28,29798.048828125
266,2021-10-29,29775.830078125
267,2021-10-30,29775.830078125
268,2021-10-31,29775.830078125
269,2021-11-01,29975.814453125
270,2021-11-02,29842.4921875
271,2021-11-03,29286.97265625
272,2021-11-04,29375.85546875
273,2021-11-05,29353.634765625
274,2021-11-06,29353.634765625
275,2021-11-07,29353.634765625
276,2021-11-08,29375.85546875
277,2021-11-09,29198.08984375
278,2021-11-10,29175.869140625
279,2021-11-11,29620.283203125
280,2021-11-12,29909.15234375
281,2021-11-13,29909.15234375
282,2021-11-14,29909.15234375
283,2021-11-15,29686.947265625
284,2021-11-16,30486.892578125
285,2021-11-17,29909.15234375
286,2021-11-18,29686.947265625
287,2021-11-19,29575.841796875
288,2021-11-20,29575.841796875
289,2021-11-21,29575.841796875
290,2021-11-22,29664.724609375
291,2021-11-23,29753.607421875
292,2021-11-24,29998.03515625
293,2021-11-25,29731.38671875
294,2021-11-26,29486.958984375
295,2021-11-27,29486.958984375
296,2021-11-28,29486.958984375
297,2021-11-29,29131.42578125
298,2021-11-30,27909.283203125
299,2021-12-01,28020.388671875
300,2021-12-02,28775.89453125
301,2021-12-03,28398.140625
302,2021-12-04,28398.140625
303,2021-12-05,28398.140625
304,2021-12-06,28553.6875
305,2021-12-07,28353.701171875
306,2021-12-08,27998.166015625
307,2021-12-09,28509.244140625
308,2021-12-10,28487.0234375
309,2021-12-11,28487.0234375
310,2021-12-12,28487.0234375
311,2021-12-13,28664.7890625
312,2021-12-14,27909.283203125
313,2021-12-15,28064.830078125
314,2021-12-16,27664.85546875
315,2021-12-17,27553.751953125
316,2021-12-18,27553.751953125
317,2021-12-19,27553.751953125
318,2021-12-20,27642.634765625
319,2021-12-21,27620.4140625
320,2021-12-22,27420.42578125
321,2021-12-23,27198.220703125
322,2021-12-24,27131.55859375
323,2021-12-25,27131.55859375
324,2021-12-26,27131.55859375
325,2021-12-27,27264.880859375
326,2021-12-28,27242.66015625
327,2021-12-29,27242.66015625
328,2021-12-30,27198.220703125
329,2021-12-31,27198.220703125
330,2022-01-01,27198.220703125
331,2022-01-02,27198.220703125
332,2022-01-03,27264.880859375
333,2022-01-04,27687.078125
334,2022-01-05,27864.84375
335,2022-01-06,27464.869140625
336,2022-01-07,27664.85546875
337,2022-01-08,27664.85546875
338,2022-01-09,27664.85546875
339,2022-01-10,27509.310546875
340,2022-01-11,27642.634765625
341,2022-01-12,28598.12890625
342,2022-01-13,28664.7890625
343,2022-01-14,28420.361328125
344,2022-01-15,28420.361328125
345,2022-01-16,28420.361328125
346,2022-01-17,28487.0234375
347,2022-01-18,27398.20703125
348,2022-01-19,27664.85546875
349,2022-01-20,27820.400390625
350,2022-01-21,28220.375
351,2022-01-22,28220.375
352,2022-01-23,28220.375
353,2022-01-24,28220.375
354,2022-01-25,27842.62109375
355,2022-01-26,27131.55859375
356,2022-01-27,27153.77734375
357,2022-01-28,27109.337890625
358,2022-01-29,27109.337890625
359,2022-01-30,27109.337890625
360,2022-01-31,27220.44140625
361,2022-02-01,27220.44140625
362,2022-02-02,27198.220703125
363,2022-02-03,27109.337890625
364,2022-02-04,27242.66015625
365,2022-02-05,27242.66015625
366,2022-02-06,27242.66015625
367,2022-02-07,27553.751953125
368,2022-02-08,27553.751953125
369,2022-02-09,27198.220703125
370,2022-02-10,27109.337890625
371,2022-02-11,27109.337890625
372,2022-02-12,27109.337890625
373,2022-02-13,27109.337890625
374,2022-02-14,27464.869140625
375,2022-02-15,27264.880859375
376,2022-02-16,27553.751953125
377,2022-02-17,28042.609375
378,2022-02-18,28264.818359375
379,2022-02-19,28264.818359375
380,2022-02-20,28264.818359375
381,2022-02-21,27998.166015625
382,2022-02-22,27687.078125
383,2022-02-23,27664.85546875
384,2022-02-24,28487.0234375
385,2022-02-25,27909.283203125
386,2022-02-26,27909.283203125
387,2022-02-27,27909.283203125
388,2022-02-28,27909.283203125
389,2022-03-01,27775.9609375
390,2022-03-02,28442.583984375
391,2022-03-03,28442.583984375
392,2022-03-04,27864.84375
393,2022-03-05,27864.84375
394,2022-03-06,27864.84375
395,2022-03-07,27242.66015625
396,2022-03-08,27064.89453125
397,2022-03-09,26998.232421875
398,2022-03-10,27775.9609375
399,2022-03-11,27420.42578125
400,2022-03-12,27420.42578125
401,2022-03-13,27420.42578125
402,2022-03-14,27153.77734375
403,2022-03-15,26976.01171875
404,2022-03-16,27064.89453125
405,2022-03-17,27220.44140625
406,2022-03-18,29842.4921875
407,2022-03-19,29842.4921875
408,2022-03-20,29842.4921875
409,2022-03-21,27753.73828125
410,2022-03-22,27553.751953125
411,2022-03-23,27553.751953125
412,2022-03-24,27731.517578125
413,2022-03-25,27420.42578125
414,2022-03-26,27420.42578125
415,2022-03-27,27420.42578125
416,2022-03-28,27264.880859375
417,2022-03-29,27398.20703125
418,2022-03-30,27820.400390625
419,2022-03-31,28087.048828125
420,2022-04-01,28353.701171875
421,2022-04-02,28353.701171875
422,2022-04-03,28353.701171875
423,2022-04-04,28420.361328125
424,2022-04-05,28598.12890625
425,2022-04-06,27820.400390625
426,2022-04-07,27487.08984375
427,2022-04-08,27375.986328125
428,2022-04-09,27375.986328125
429,2022-04-10,27375.986328125
430,2022-04-11,27331.54296875
431,2022-04-12,27042.673828125
432,2022-04-13,27553.751953125
433,2022-04-14,27198.220703125
434,2022-04-15,27198.220703125
435,2022-04-16,27198.220703125
436,2022-04-17,27198.220703125
437,2022-04-18,27375.986328125
438,2022-04-19,27198.220703125
439,2022-04-20,27753.73828125
440,2022-04-21,27287.103515625
441,2022-04-22,27198.220703125
442,2022-04-23,27198.220703125
443,2022-04-24,27198.220703125
444,2022-04-25,27198.220703125
445,2022-04-26,27642.634765625
446,2022-04-27,27887.064453125
447,2022-04-28,27287.103515625
448,2022-04-29,27287.103515625
449,2022-04-30,27287.103515625
450,2022-05-01,27287.103515625
451,2022-05-02,27287.103515625
452,2022-05-03,27287.103515625
453,2022-05-04,27287.103515625
454,2022-05-05,27287.103515625
455,2022-05-06,27287.103515625
456,2022-05-07,27287.103515625
457,2022-05-08,27287.103515625
458,2022-05-09,26931.5703125
459,2022-05-10,27175.998046875
460,2022-05-11,26953.791015625
461,2022-05-12,26976.01171875
462,2022-05-13,27131.55859375
463,2022-05-14,27131.55859375
464,2022-05-15,27131.55859375
465,2022-05-16,27131.55859375
466,2022-05-17,26931.5703125
467,2022-05-18,26953.791015625
468,2022-05-19,27020.455078125
469,2022-05-20,27353.765625
470,2022-05-21,27353.765625
471,2022-05-22,27353.765625
472,2022-05-23,27198.220703125
473,2022-05-24,27153.77734375
474,2022-05-25,27131.55859375
475,2022-05-26,27131.55859375
476,2022-05-27,27487.08984375
477,2022-05-28,27487.08984375
478,2022-05-29,27487.08984375
479,2022-05-30,27531.53125
480,2022-05-31,27998.166015625
481,2022-06-01,27998.166015625
482,2022-06-02,28064.830078125
483,2022-06-03,27864.84375
484,2022-06-04,27864.84375
485,2022-06-05,27864.84375
486,2022-06-06,27598.193359375
487,2022-06-07,28264.818359375
488,2022-06-08,28020.388671875
489,2022-06-09,28020.388671875
490,2022-06-10,27420.42578125
491,2022-06-11,27420.42578125
492,2022-06-12,27420.42578125
493,2022-06-13,27264.880859375
494,2022-06-14,27464.869140625
495,2022-06-15,27175.998046875
